Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
cage,Open Birdcage,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Shopping ads,United States,SEVERITY_DEMOTED
cage,Open Birdcage,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads Discover Surface,United States,SEVERITY_DEMOTED
sailing,Sailing,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Free listings,United States,SEVERITY_DEMOTED
sailing,Sailing,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads,United States,SEVERITY_DEMOTED
sailing,Sailing,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Shopping ads,United States,SEVERITY_DEMOTED
sailing,Sailing,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads Discover Surface,United States,SEVERITY_DEMOTED
sailing,Sailing,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Video Ads,United States,SEVERITY_DEMOTED
window,Rendezvous,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads,United States,SEVERITY_DEMOTED
window,Rendezvous,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads Discover Surface,United States,SEVERITY_DEMOTED
window,Rendezvous,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Free listings,United States,SEVERITY_DEMOTED
window,Rendezvous,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Shopping ads,United States,SEVERITY_DEMOTED
window,Rendezvous,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Video Ads,United States,SEVERITY_DEMOTED
herodion,Herodium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Free listings,United States,SEVERITY_DEMOTED
herodion,Herodium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Video Ads,United States,SEVERITY_DEMOTED
herodion,Herodium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads,United States,SEVERITY_DEMOTED
herodion,Herodium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Shopping ads,United States,SEVERITY_DEMOTED
herodion,Herodium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads Discover Surface,United States,SEVERITY_DEMOTED
things,Small Things,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads,United States,SEVERITY_DEMOTED
things,Small Things,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Video Ads,United States,SEVERITY_DEMOTED
things,Small Things,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Free listings,United States,SEVERITY_DEMOTED
things,Small Things,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Shopping ads,United States,SEVERITY_DEMOTED
things,Small Things,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads Discover Surface,United States,SEVERITY_DEMOTED
byzuntium,Sailing to Byzantium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Discovery Ads,United States,SEVERITY_DEMOTED
byzuntium,Sailing to Byzantium,Low,US,en,ELIGIBLE,ONLINE,"Limited performance due to missing identifiers [gtin, mpn, brand]","Add a brand and either a GTIN or MPN. If this product is one-of-a-kind or vintage, you don't need to add an identifier.",Video Ads,United States,SEVERITY_DEMOTED
